Order_ID,ASIN,Product_Name,Category,Sub_Category,Order_Date,Ship_Date,Delivery_Date,Delivery_Type,Customer_ID,Customer_Name,Customer_Tier,Age_Group,City,State,Region,Quantity,Unit_Price_INR,Discount_%,Discount_Amount_INR,Sale_Price_INR,Profit_INR,Profit_Margin_%,Payment_Method,Returned,Return_Reason,Customer_Rating,Year,Month,Quarter,Financial_Year,Is_Weekend_Order,Is_Festive_Season
AMZ-ORD-100035,ASIN-98250844,Mango Blazer,Fashion,Women's Clothing,2021-01-10,2021-01-17,2021-01-18,Standard (5-7 Days),AMZ-CUST-5321,Simran Singh,Prime,35-44,Nagpur,Maharashtra,West,3,7132.99,10,2139.9,19259.07,8741.19,45.39,Amazon Pay,No,N/A,4,2021,January,Q1,FY2020-21,Yes,No
AMZ-ORD-100036,ASIN-15276079,Amul Butter 500g,Grocery & Gourmet,Staples,2021-08-11,2021-08-12,2021-08-12,Amazon Prime (1-Day),AMZ-CUST-5180,Harsh Verma,Regular,35-44,Kochi,Kerala,South,2,4299.63,50,4299.63,4299.63,299.44,6.96,Cash on Delivery,No,N/A,5,2021,August,Q3,FY2021-22,No,No
AMZ-ORD-100037,ASIN-42554098,Nike Running Shoes,Sports & Outdoors,Sports Gear,2021-03-05,2021-03-12,2021-03-12,Scheduled Delivery,AMZ-CUST-5596,Nikhil Bansal,Regular,35-44,Bhopal,Madhya Pradesh,Central,1,10794.48,50,5397.24,5397.24,1161.24,21.52,EMI,No,N/A,3,2021,March,Q1,FY2020-21,No,No
AMZ-ORD-100038,ASIN-12332645,Geronimo Stilton,Books & Media,Children,2022-08-19,2022-08-21,2022-08-21,Amazon Prime (2-Day),AMZ-CUST-5138,Sanjay Kumar,Business Prime,25-34,Kochi,Kerala,South,3,361.61,50,542.41,542.42,82.8,15.26,Amazon Pay,No,N/A,3,2022,August,Q3,FY2022-23,No,No
AMZ-ORD-100039,ASIN-10098773,Facto Power Barbell,Sports & Outdoors,Fitness Equipment,2021-11-23,2021-11-25,2021-11-25,Amazon Prime (2-Day),AMZ-CUST-5184,Kavya Agarwal,Prime,25-34,Ahmedabad,Gujarat,West,1,46969.93,15,7045.49,39924.44,13589.01,34.04,Credit Card,No,N/A,3,2021,November,Q4,FY2021-22,No,Yes
AMZ-ORD-100040,ASIN-69542760,Scotch-Brite Scrub,Home & Kitchen,Cleaning,2022-02-28,2022-03-04,2022-03-05,Standard (5-7 Days),AMZ-CUST-5531,Meera Chopra,Regular,45-54,Bengaluru,Karnataka,South,1,82626.59,0,0.0,82626.59,32649.69,39.51,Net Banking,No,N/A,4,2022,February,Q1,FY2021-22,No,No
AMZ-ORD-100041,ASIN-67154867,Paperboat Aam Panna,Grocery & Gourmet,Beverages,2021-12-23,2021-12-25,2021-12-26,Amazon Prime (2-Day),AMZ-CUST-5386,Sneha Mehta,Regular,55+,Kochi,Kerala,South,1,2958.01,50,1479.01,1479.0,111.16,7.52,Amazon Pay,No,N/A,4,2021,December,Q4,FY2021-22,No,Yes
AMZ-ORD-100042,ASIN-54584951,Sony Alpha 7III,Electronics,Cameras,2023-09-15,2023-09-20,2023-09-20,Standard (5-7 Days),AMZ-CUST-5619,Tanvi Iyer,Prime,45-54,Mumbai,Maharashtra,West,2,66543.91,5,6654.39,126433.43,16620.2,13.15,Net Banking,No,N/A,4,2023,September,Q3,FY2023-24,No,No
AMZ-ORD-100043,ASIN-85562465,Tommy Hilfiger Belt,Fashion,Accessories,2021-08-31,2021-09-02,2021-09-02,Amazon Prime (2-Day),AMZ-CUST-5677,Aisha Tiwari,Business Prime,35-44,Nagpur,Maharashtra,West,4,18089.31,70,50650.07,21707.17,8544.91,39.36,Credit Card,No,N/A,4,2021,August,Q3,FY2021-22,No,No
AMZ-ORD-100044,ASIN-79032040,AND Casual Dress,Fashion,Women's Clothing,2022-05-15,2022-05-17,2022-05-18,Amazon Prime (2-Day),AMZ-CUST-5045,Vishal Iyer,Prime,25-34,Delhi,Delhi,North,1,15848.65,60,9509.19,6339.46,1864.18,29.41,Amazon Pay,No,N/A,5,2022,May,Q2,FY2022-23,Yes,No
AMZ-ORD-100045,ASIN-91552026,Tropicana Orange 1L Pack,Grocery & Gourmet,Beverages,2021-02-08,2021-02-10,2021-02-10,Amazon Prime (2-Day),AMZ-CUST-5737,Rajesh Malhotra,Prime,55+,Kolkata,West Bengal,East,5,1121.14,40,2242.28,3363.42,459.88,13.67,Debit Card,No,N/A,5,2021,February,Q1,FY2020-21,No,No
AMZ-ORD-100046,ASIN-16167054,Nescafe Classic 200g,Grocery & Gourmet,Beverages,2022-01-08,2022-01-09,2022-01-09,Amazon Prime (1-Day),AMZ-CUST-5639,Priya Chopra,Regular,35-44,Surat,Gujarat,West,3,3633.72,40,4360.46,6540.7,717.21,10.97,Credit Card,No,N/A,3,2022,January,Q1,FY2021-22,Yes,No
AMZ-ORD-100047,ASIN-98911276,Nivia Storm Football,Sports & Outdoors,Sports Gear,2021-02-03,2021-02-07,2021-02-07,Scheduled Delivery,AMZ-CUST-5208,Aarav Agarwal,Regular,55+,Jaipur,Rajasthan,North,2,30353.45,40,24282.76,36424.14,13673.7,37.54,Net Banking,No,N/A,3,2021,February,Q1,FY2020-21,No,No
AMZ-ORD-100048,ASIN-52621669,Minute Maid Pulpy,Grocery & Gourmet,Beverages,2021-01-03,2021-01-03,2021-01-04,Amazon Fresh (Same Day),AMZ-CUST-5794,Kavya Tiwari,Regular,45-54,Indore,Madhya Pradesh,Central,1,2131.39,50,1065.69,1065.7,99.0,9.29,Credit Card,No,N/A,5,2021,January,Q1,FY2020-21,Yes,No
AMZ-ORD-100049,ASIN-17505308,Aquaguard Geneus,Home & Kitchen,Cleaning,2023-05-22,2023-05-29,2023-05-30,Scheduled Delivery,AMZ-CUST-5138,Sanjay Kumar,Business Prime,25-34,Kochi,Kerala,South,1,81924.67,20,16384.93,65539.74,19633.94,29.96,Net Banking,No,N/A,1,2023,May,Q2,FY2023-24,No,No
AMZ-ORD-100050,ASIN-62469319,Vector X Pull Up Bar,Sports & Outdoors,Fitness Equipment,2023-12-07,2023-12-09,2023-12-10,Amazon Prime (2-Day),AMZ-CUST-5121,Rajesh Chopra,Regular,18-24,Indore,Madhya Pradesh,Central,3,32795.4,30,29515.86,68870.34,16567.96,24.06,UPI,No,N/A,4,2023,December,Q4,FY2023-24,No,Yes
AMZ-ORD-100051,ASIN-78829527,Trident Bath Towels,Home & Kitchen,Home Decor,2023-05-18,2023-05-18,2023-05-18,Amazon Fresh (Same Day),AMZ-CUST-5579,Aditya Bansal,Prime,55+,Patna,Bihar,East,4,67995.48,50,135990.96,135990.96,47045.68,34.59,Amazon Pay,No,N/A,5,2023,May,Q2,FY2023-24,No,No
AMZ-ORD-100052,ASIN-16470781,Decathlon Tennis Racket,Sports & Outdoors,Sports Gear,2022-06-04,2022-06-06,2022-06-06,Amazon Prime (2-Day),AMZ-CUST-5315,Vivek Kapoor,Regular,45-54,Delhi,Delhi,North,1,36840.97,15,5526.15,31314.82,8193.48,26.16,EMI,No,N/A,4,2022,June,Q2,FY2022-23,Yes,No
AMZ-ORD-100053,ASIN-67888547,Boldfit Resistance Bands,Sports & Outdoors,Fitness Equipment,2022-11-25,2022-11-25,2022-11-26,Amazon Fresh (Same Day),AMZ-CUST-5564,Neha Agarwal,Prime,35-44,Surat,Gujarat,West,1,19576.36,5,978.82,18597.54,6617.26,35.58,Debit Card,No,N/A,4,2022,November,Q4,FY2022-23,No,Yes
AMZ-ORD-100054,ASIN-62469319,Vector X Pull Up Bar,Sports & Outdoors,Fitness Equipment,2023-01-30,2023-02-03,2023-02-03,Standard (5-7 Days),AMZ-CUST-5082,Neha Malhotra,Regular,35-44,Mumbai,Maharashtra,West,4,46547.11,60,111713.06,74475.38,23388.53,31.4,Credit Card,No,N/A,5,2023,January,Q1,FY2022-23,No,No
AMZ-ORD-100055,ASIN-78823543,Cosco Basketball,Sports & Outdoors,Sports Gear,2022-02-18,2022-02-20,2022-02-20,Amazon Prime (2-Day),AMZ-CUST-5673,Manish Verma,Regular,35-44,Patna,Bihar,East,5,1872.75,50,4681.88,4681.87,1306.02,27.9,Debit Card,No,N/A,4,2022,February,Q1,FY2021-22,No,No
AMZ-ORD-100056,ASIN-67554865,TCL 43 P635,Electronics,Televisions,2021-01-01,2021-01-05,2021-01-05,Scheduled Delivery,AMZ-CUST-5162,Vivek Agarwal,Business Prime,35-44,Mumbai,Maharashtra,West,4,53615.02,30,64338.02,150122.06,20808.12,13.86,UPI,No,N/A,5,2021,January,Q1,FY2020-21,No,No
AMZ-ORD-100057,ASIN-52649409,Fabindia Coffee Table,Home & Kitchen,Furniture,2022-12-14,2022-12-19,2022-12-20,Standard (5-7 Days),AMZ-CUST-5356,Harsh Verma,Prime,18-24,Chandigarh,Punjab,North,4,86681.53,30,104017.84,242708.28,71289.9,29.37,Credit Card,No,N/A,5,2022,December,Q4,FY2022-23,No,Yes
AMZ-ORD-100058,ASIN-36733815,Faber Chimney,Home & Kitchen,Kitchen Appliances,2023-10-28,2023-10-28,2023-10-29,Amazon Fresh (Same Day),AMZ-CUST-5302,Riya Malhotra,Regular,35-44,Nagpur,Maharashtra,West,5,86111.5,60,258334.5,172223.0,36603.48,21.25,EMI,No,N/A,3,2023,October,Q4,FY2023-24,Yes,Yes
AMZ-ORD-100059,ASIN-23313692,Big Nate Series,Books & Media,Children,2022-11-27,2022-11-28,2022-11-29,Amazon Prime (1-Day),AMZ-CUST-5795,Nikhil Sharma,Regular,45-54,Chennai,Tamil Nadu,South,1,2698.92,40,1079.57,1619.35,289.97,17.91,Cash on Delivery,No,N/A,3,2022,November,Q4,FY2022-23,Yes,Yes
AMZ-ORD-100060,ASIN-70782623,Oswaal CBSE Sample Papers,Books & Media,Academic,2022-04-16,2022-04-16,2022-04-17,Amazon Fresh (Same Day),AMZ-CUST-5324,Aditi Chopra,Prime,45-54,Nagpur,Maharashtra,West,3,1652.39,15,743.58,4213.59,934.67,22.18,Amazon Pay,No,N/A,3,2022,April,Q2,FY2022-23,Yes,No
AMZ-ORD-100061,ASIN-76473725,Puma Softride,Fashion,Footwear,2022-10-05,2022-10-07,2022-10-07,Amazon Prime (2-Day),AMZ-CUST-5363,Nikhil Shah,Regular,45-54,Patna,Bihar,East,2,23692.82,40,18954.26,28431.38,13394.98,47.11,Debit Card,No,N/A,3,2022,October,Q4,FY2022-23,No,Yes
AMZ-ORD-100062,ASIN-98911276,Nivia Storm Football,Sports & Outdoors,Sports Gear,2022-02-20,2022-02-20,2022-02-20,Amazon Fresh (Same Day),AMZ-CUST-5256,Aisha Patel,Prime,18-24,Chennai,Tamil Nadu,South,1,38990.14,5,1949.51,37040.63,11814.22,31.9,Credit Card,No,N/A,5,2022,February,Q1,FY2021-22,Yes,No
AMZ-ORD-100063,ASIN-99128254,Li-Ning Badminton Shoes,Sports & Outdoors,Sports Gear,2023-09-15,2023-09-21,2023-09-22,Scheduled Delivery,AMZ-CUST-5381,Aditi Patel,Prime,55+,Delhi,Delhi,North,5,44925.44,20,44925.44,179701.76,49004.91,27.27,Debit Card,No,N/A,5,2023,September,Q3,FY2023-24,No,No
AMZ-ORD-100064,ASIN-70782623,Oswaal CBSE Sample Papers,Books & Media,Academic,2021-04-21,2021-04-23,2021-04-24,Amazon Prime (2-Day),AMZ-CUST-5539,Priya Iyer,Regular,35-44,Noida,Uttar Pradesh,North,3,193.43,30,174.09,406.2,148.3,36.51,Amazon Pay,No,N/A,5,2021,April,Q2,FY2021-22,No,No
AMZ-ORD-100065,ASIN-54804039,Xiaomi 13 Pro,Electronics,Smartphones,2022-10-09,2022-10-14,2022-10-15,Standard (5-7 Days),AMZ-CUST-5706,Amit Reddy,Prime,35-44,Bengaluru,Karnataka,South,1,57533.77,25,14383.44,43150.33,5012.35,11.62,Net Banking,No,N/A,5,2022,October,Q4,FY2022-23,Yes,Yes
AMZ-ORD-100066,ASIN-36261601,Calvin Klein Wallet,Fashion,Accessories,2022-12-04,2022-12-11,2022-12-11,Standard (5-7 Days),AMZ-CUST-5375,Ananya Singh,Prime,35-44,Coimbatore,Tamil Nadu,South,3,5499.15,25,4124.36,12373.09,6264.47,50.63,Cash on Delivery,No,N/A,5,2022,December,Q4,FY2022-23,Yes,Yes
AMZ-ORD-100067,ASIN-87549978,Tata Tea Premium 500g,Grocery & Gourmet,Beverages,2022-04-14,2022-04-16,2022-04-17,Amazon Prime (2-Day),AMZ-CUST-5103,Kiran Agarwal,Regular,45-54,Patna,Bihar,East,4,2797.93,15,1678.76,9512.96,614.39,6.46,Amazon Pay,No,N/A,3,2022,April,Q2,FY2022-23,No,No
AMZ-ORD-100068,ASIN-12150072,Coca Cola 2L Pack,Grocery & Gourmet,Beverages,2023-10-21,2023-10-22,2023-10-22,Amazon Prime (1-Day),AMZ-CUST-5138,Sanjay Kumar,Business Prime,25-34,Kochi,Kerala,South,5,1534.17,60,4602.51,3068.34,168.06,5.48,EMI,Yes,Size Issue,5,2023,October,Q4,FY2023-24,Yes,Yes
AMZ-ORD-100069,ASIN-10745145,Bru Coffee 200g,Grocery & Gourmet,Beverages,2021-07-17,2021-07-23,2021-07-23,Standard (5-7 Days),AMZ-CUST-5461,Vivek Kapoor,Regular,45-54,Chennai,Tamil Nadu,South,5,1835.76,50,4589.4,4589.4,657.13,14.32,EMI,No,N/A,4,2021,July,Q3,FY2021-22,Yes,No
AMZ-ORD-100070,ASIN-36821615,Yohi Dumbbells Set,Sports & Outdoors,Fitness Equipment,2022-02-12,2022-02-12,2022-02-12,Amazon Fresh (Same Day),AMZ-CUST-5591,Vishal Bansal,Prime,55+,Ahmedabad,Gujarat,West,5,17883.43,40,35766.86,53650.29,18438.86,34.37,Amazon Pay,No,N/A,4,2022,February,Q1,FY2021-22,Yes,No
AMZ-ORD-100071,ASIN-69213068,Frooti Mango 24 Pack,Grocery & Gourmet,Beverages,2021-10-24,2021-10-25,2021-10-25,Amazon Prime (1-Day),AMZ-CUST-5172,Amit Kumar,Business Prime,55+,Noida,Uttar Pradesh,North,5,3173.8,30,4760.7,11108.3,1498.4,13.49,UPI,No,N/A,3,2021,October,Q4,FY2021-22,Yes,Yes
AMZ-ORD-100072,ASIN-70695758,Cello Plastic Chair,Home & Kitchen,Home Decor,2022-10-11,2022-10-18,2022-10-19,Standard (5-7 Days),AMZ-CUST-5669,Shruti Singh,Prime,45-54,Bengaluru,Karnataka,South,3,58088.06,40,69705.67,104558.51,36098.15,34.52,Debit Card,No,N/A,1,2022,October,Q4,FY2022-23,No,Yes
